output_text,intput_text
Atopic Dermatitis,what is the uses of Fluticasone Propionate
Bacterial Urinary Tract Infection,what is the uses of Cefixime
milnacipran,which medication is used for fibromyalgia
Bacterial Conjunctivitis,what is the uses of Erythromycin
duloxetine,which medication is used for fibromyalgia
fever,what is the uses of Acetaminophen-DM
ciprofloxacin in 5 % dextrose,which medication is used for diverticulitis of gastrointestinal tract
hypertension,what is the uses of Amlodipine-Valsartan
phenylephrine-dm-acetaminophen,which medication is used for fever
imipramine pamoate,which medication is used for depression
oral candidiasis,what is the uses of Clotrimazole
"pseudoephedrine-ibuprofen, brompheniram-pse-acetaminophen",which medication is used for fever
"hydrocortisone acetate, hydrocortison-resor-bismth-zno, hydrocortisone",which medication is used for hemorrhoids
capsaicin-methyl sal-menthol,which medication is used for back pain
depression,what is the uses of Amitriptyline
gout,what is the uses of Meclofenamate
vertigo,what is the uses of Meclizine
hypercholesterolemia,what is the uses of Niacin
Bacterial Urinary Tract Infection,what is the uses of Sulfamethoxazole-Trimethoprim
ramipril,which medication is used for prevention of cerebrovascular accident
vit e-grape-hyaluronate sodium,which medication is used for atopic dermatitis
amlodipine-atorvastatin,which medication is used for hypercholesterolemia
hemorrhoids,"what is the uses of Phenyleph-Shark Oil-Glyc-Pet, Phenyleph-Min Oil-Petrolatum, Cocoa Butter-Shark Liver Oil"
cefaclor,which medication is used for pharyngitis due to streptococcus pyogenes
telmisartan-amlodipine,which medication is used for hypertension
Bacterial Urinary Tract Infection,"what is the uses of Ceftriaxone In Dextrose,Iso-Os"
fever,what is the uses of Chlorpheniramine-Acetaminophen
Atopic Dermatitis,what is the uses of Fluocinolone-Emol Cmb#65
lansoprazole,which medication is used for gastroesophageal reflux disease
trolamine salicylate-aloe vera,which medication is used for back pain
diphenhydramine citrate,which medication is used for vertigo
verapamil,which medication is used for hypertension
clotrimazole,which medication is used for vulvovaginal candidiasis
Bacterial Urinary Tract Infection,what is the uses of Cefdinir
terconazole,which medication is used for vulvovaginal candidiasis
esomeprazole strontium,which medication is used for gastroesophageal reflux disease
depression,what is the uses of Maprotiline
gastroesophageal reflux disease,"what is the uses of Calcium Carbonate-Mag Hydroxid, Calcium Carbonate, Dihydroxyaluminum Sod Carb"
gout,what is the uses of Ibuprofen-Famotidine
hemorrhoids,what is the uses of Hydrocortisone Acetate
edema,what is the uses of Chlorothiazide
levofloxacin in d5w,which medication is used for bacterial urinary tract infection
mupirocin,which medication is used for impetigo
aliskiren,which medication is used for hypertension
hydrocortisone,which medication is used for hemorrhoids
"aspirin-acetaminophen-caffeine, aspirin, phenyltoloxamine-acetaminophen",which medication is used for fever
gastroesophageal reflux disease,what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb
chickenpox,what is the uses of Acyclovir Sodium
valsartan,which medication is used for hypertension
goserelin,which medication is used for endometriosis
dm-benzocaine-menthol,which medication is used for sore throat
butoconazole nitrate,which medication is used for vulvovaginal candidiasis
chlorpheniram-dm-acetaminophen,which medication is used for sore throat
Bacterial Urinary Tract Infection,what is the uses of Streptomycin
hypercholesterolemia,what is the uses of Pravastatin
niacin,which medication is used for hypercholesterolemia
adenocarcinoma of pancreas,what is the uses of Fluorouracil
hypertension,what is the uses of Clonidine Hcl
Atopic Dermatitis,what is the uses of Mometasone
fluconazole,which medication is used for vulvovaginal candidiasis
hypercholesterolemia,"what is the uses of Fenofibrate Micronized, Fenofibrate Nanocrystallized"
moxifloxacin,which medication is used for acute bacterial sinusitis
hemorrhoids,"what is the uses of Diphenhydramine-Calamine, Pramoxine-Calamine"
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
gastroesophageal reflux disease,what is the uses of Lansoprazole
chlorthalidone,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Pantoprazole
prednisone,which medication is used for atopic dermatitis
gastroesophageal reflux disease,"what is the uses of Omeprazole, Omeprazole Magnesium"
Sleepiness Due To Obstructive Sleep Apnea,what is the uses of Armodafinil
hypertension,what is the uses of Eplerenone
flatulence,"what is the uses of Aluminum-Magnesium-Alginate, Alum-Mag Hydroxide-Simeth"
Atopic Dermatitis,what is the uses of Prednisolone Sodium Phosphate
scabies,what is the uses of Permethrin
Bacterial Urinary Tract Infection,what is the uses of Ciprofloxacin
hypertension,what is the uses of Perindopril Erbumine
edema,what is the uses of Furosemide
prevention of cerebrovascular accident,what is the uses of Rosuvastatin
moxifloxacin,which medication is used for bacterial conjunctivitis
flurbiprofen,which medication is used for gout
asa-acetaminophen-salicyl-caff,which medication is used for fever
Atopic Dermatitis,what is the uses of Prednisone
amiloride-hydrochlorothiazide,which medication is used for edema
ranitidine hcl,which medication is used for gastroesophageal reflux disease
impetigo,what is the uses of Mupirocin
diltiazem hcl,which medication is used for hypertension
diphenhydramine hcl,which medication is used for vertigo
omeprazole magnesium,which medication is used for gastroesophageal reflux disease
Atopic Dermatitis,what is the uses of Diflorasone
famciclovir,which medication is used for herpes zoster
pregabalin,which medication is used for fibromyalgia
"pseudoephed-dm-acetaminophen, cpm-pseudoeph-dm-acetaminophen",which medication is used for fever
edema,what is the uses of Hydrochlorothiazide
cefprozil,which medication is used for pharyngitis due to streptococcus pyogenes
dexlansoprazole,which medication is used for gastroesophageal reflux disease
ciprofloxacin hcl,which medication is used for diverticulitis of gastrointestinal tract
vulvovaginal candidiasis,what is the uses of Fluconazole
"starch, pramoxine-mineral oil-zinc",which medication is used for hemorrhoids
Atopic Dermatitis,"what is the uses of Betamethasone, Augmented, Betamethasone Dipropionate"
edema,what is the uses of Amiloride-Hydrochlorothiazide
azithromycin,which medication is used for acute bacterial sinusitis
ciprofloxacin in 5 % dextrose,which medication is used for bacterial urinary tract infection
gout,what is the uses of Naproxen Sodium
permethrin,which medication is used for scabies
Bacterial Urinary Tract Infection,what is the uses of Ceftriaxone
dexamethasone sodium phos (pf),which medication is used for atopic dermatitis
hypertension,what is the uses of Moexipril
clindamycin in 5 % dextrose,which medication is used for diverticulitis of gastrointestinal tract
genital herpes simplex,what is the uses of Acyclovir-Hydrocortisone
miconazole nitrate,which medication is used for vulvovaginal candidiasis
Atopic Dermatitis,what is the uses of Desonide-Emollient Combo No 28
gout,what is the uses of Naproxen
ibuprofen,which medication is used for fever
Atopic Dermatitis,"what is the uses of Hydrocortisone-Pramoxine, Hydrocortisone"
endometriosis,what is the uses of Norethindrone Acetate
diverticulitis of gastrointestinal tract,what is the uses of Ciprofloxacin Hcl
fever,"what is the uses of Doxylamin-PSE-DM-Acetaminophen, Chlorphen-PE-DM-Acetaminophen"
Acute Bacterial Sinusitis,what is the uses of Erythromycin
ezetimibe-simvastatin,which medication is used for hypercholesterolemia
hydrocortisone acetate,which medication is used for atopic dermatitis
gout,what is the uses of Oxaprozin
fenoprofen,which medication is used for gout
fever,"what is the uses of Pseudoephedrine-Ibuprofen, Brompheniram-PSE-Acetaminophen"
hypercholesterolemia,"what is the uses of Fenofibrate Micronized, Fenofibrate"
gout,what is the uses of Diflunisal
trimethoprim,which medication is used for bacterial urinary tract infection
acetaminophen,which medication is used for back pain
acyclovir,which medication is used for herpes zoster
Bacterial Urinary Tract Infection,what is the uses of Amikacin
fluocinonide,which medication is used for atopic dermatitis
hypertension,what is the uses of Captopril-Hydrochlorothiazide
hypertension,what is the uses of Perindopril-Amlodipine
fever,what is the uses of Pseudoephed-DM-Acetaminophen
acetaminophen,which medication is used for fever
cefaclor,which medication is used for bacterial urinary tract infection
flatulence,what is the uses of Calcium Carbonate-Mag Hydroxid
Bacterial Conjunctivitis,what is the uses of Besifloxacin
"chlorphenir-phenylephrn-aspirn, diphenhydramine-acetaminophen, cpm-phenyleph-acetaminophen, cpm-pseudoeph-dm-acetaminophen",which medication is used for fever
Atopic Dermatitis,what is the uses of Betamethasone Valerate
Bacterial Urinary Tract Infection,what is the uses of Cephalexin
depression,what is the uses of Fluvoxamine
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Erythromycin Ethylsuccinate
esomeprazole magnesium,which medication is used for gastroesophageal reflux disease
olmesartan,which medication is used for hypertension
back pain,what is the uses of Capsaicin-Methyl Sal-Menthol
amoxicillin-pot clavulanate,which medication is used for bacterial urinary tract infection
fever,what is the uses of Pseudoephed-DM-Acetaminophen
Bacterial Urinary Tract Infection,what is the uses of Cefazolin
hypertension,what is the uses of Ethacrynic Acid
cisplatin,which medication is used for adenocarcinoma of pancreas
atorvastatin,which medication is used for prevention of cerebrovascular accident
gastroesophageal reflux disease,what is the uses of Omeprazole Magnesium
hemorrhoids,what is the uses of Hydrocortisone
diverticulitis of gastrointestinal tract,what is the uses of Amikacin
"fenofibrate micronized, fenofibrate",which medication is used for hypercholesterolemia
hypertension,what is the uses of Furosemide
"pseudoephedrine-ibuprofen, ibuprofen",which medication is used for fever
hypertension,what is the uses of Clonidine
sulfamethoxazole-trimethoprim,which medication is used for diverticulitis of gastrointestinal tract
"betamethasone, augmented",which medication is used for atopic dermatitis
"calcium carbonate-mag hydroxid, calcium carbonate, dihydroxyaluminum sod carb",which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Eprosartan
hypertension,what is the uses of Bisoprolol-Hydrochlorothiazide
adenocarcinoma of pancreas,what is the uses of Capecitabine
pseudoephed-dm-acetaminophen,which medication is used for fever
hypertension,what is the uses of Trandolapril
hydrocortisone butyrate,which medication is used for atopic dermatitis
hemorrhoids,what is the uses of Zinc Oxide
pseudoephedrine-ibuprofen,which medication is used for fever
levofloxacin,which medication is used for bacterial urinary tract infection
fever,what is the uses of Naproxen Sodium
Pharyngitis due to Streptococcus Pyogenes,what is the uses of Cefprozil
hypertension,what is the uses of Lisinopril-Hydrochlorothiazide
nortriptyline,which medication is used for depression
norethindrone-e.estradiol-iron,which medication is used for endometriosis
clindamycin phosphate,which medication is used for diverticulitis of gastrointestinal tract
hypercholesterolemia,what is the uses of Fluvastatin
amoxapine,which medication is used for depression
hypertension,what is the uses of Metolazone
hypertension,what is the uses of Spironolacton-Hydrochlorothiaz
furosemide,which medication is used for edema
Atopic Dermatitis,what is the uses of Clobetasol
meclizine,which medication is used for vertigo
losartan-hydrochlorothiazide,which medication is used for hypertension
endometriosis,what is the uses of Norethin-E.Estradiol Triphasic
gastroesophageal reflux disease,what is the uses of Ranitidine Hcl
hemorrhoids,what is the uses of Lidocaine
amikacin,which medication is used for bacterial urinary tract infection
Bacterial Conjunctivitis,what is the uses of Moxifloxacin
Atopic Dermatitis,"what is the uses of Vit E-Glycerin-Dimethicone, Glycerin-Dimethicone-Petro, Wh"
lidocaine,which medication is used for hemorrhoids
Sleepiness Due To Obstructive Sleep Apnea,what is the uses of Modafinil
paroxetine hcl,which medication is used for fibromyalgia
fever,"what is the uses of ASA-Acetaminophen-Salicyl-Caff, Mg Salicylat-Acetaminophen-Caf"
fever,"what is the uses of Pseudoephedrine-Ibuprofen, Ibuprofen"
endometriosis,what is the uses of Levonorgestrel-Ethinyl Estrad
evolocumab,which medication is used for prevention of cerebrovascular accident
hemorrhoids,what is the uses of Phenylephrine-Witch Hazel
naproxen,which medication is used for fever
timolol maleate,which medication is used for hypertension
nebivolol,which medication is used for hypertension
hypercholesterolemia,what is the uses of Cholestyramine (With Sugar)
amoxicillin,which medication is used for acute bacterial sinusitis
simvastatin,which medication is used for prevention of cerebrovascular accident
hypertension,what is the uses of Olmesartan-Amlodipin-Hcthiazid
triamterene-hydrochlorothiazid,which medication is used for hypertension
ketoprofen,which medication is used for gout
ranitidine hcl,which medication is used for gastroesophageal reflux disease
gout,what is the uses of Diclofenac Sodium
diverticulitis of gastrointestinal tract,what is the uses of Metronidazole
trandolapril,which medication is used for hypertension
back pain,"what is the uses of Menthol, Camphor-Methyl Salicyl-Menthol"
phenyleph-dm-acetamin-guaifen,which medication is used for fever
cefdinir,which medication is used for pharyngitis due to streptococcus pyogenes
fever,what is the uses of Naproxen
zinc oxide,which medication is used for hemorrhoids
fever,"what is the uses of Cpm-PPA-DM-Acetaminophen, Acetaminophen"
fever,what is the uses of Phenyleph-DM-Acetamin-Guaifen
hypercholesterolemia,what is the uses of Niacin
lisinopril-hydrochlorothiazide,which medication is used for hypertension
cholestyramine (with sugar),which medication is used for hypercholesterolemia
clobetasol-emollient,which medication is used for atopic dermatitis
hypertension,what is the uses of Amlodipine-Valsartan-Hcthiazid
tolmetin,which medication is used for gout
"aspirin, buffered",which medication is used for fever
cefixime,which medication is used for pharyngitis due to streptococcus pyogenes
ibuprofen,which medication is used for fever
fenofibrate nanocrystallized,which medication is used for hypercholesterolemia
hemorrhoids,what is the uses of Pramoxine
Bacterial Conjunctivitis,what is the uses of Azithromycin
amoxicillin-pot clavulanate,which medication is used for diverticulitis of gastrointestinal tract
erythromycin stearate,which medication is used for gastroesophageal reflux disease
Atopic Dermatitis,"what is the uses of Salicylic Acid, Hydrocortisone"
gout,what is the uses of Tolmetin
l norgest/e.estradiol-e.estrad,which medication is used for endometriosis
Bacterial Urinary Tract Infection,what is the uses of Ampicillin Sodium
dexamethasone,which medication is used for atopic dermatitis
flatulence,"what is the uses of Simethicone, Alpha-D-Galactosidase"
fever,what is the uses of Acetaminophen
gatifloxacin,which medication is used for bacterial conjunctivitis
pramoxine,which medication is used for hemorrhoids
"mupirocin calcium, mupirocin",which medication is used for impetigo
"mupirocin calcium, mupirocin",which medication is used for furunculosis
hypercholesterolemia,what is the uses of Lovastatin
cpm-pseudoeph-dm-acetaminophen,which medication is used for fever
gastroesophageal reflux disease,what is the uses of Pantoprazole
cephalexin,which medication is used for bacterial urinary tract infection
olmesartan-amlodipin-hcthiazid,which medication is used for hypertension
gout,what is the uses of Piroxicam
Acute Bacterial Sinusitis,what is the uses of Erythromycin Ethylsuccinate
back pain,what is the uses of Capsaicin In Castor Oil
asa-acetaminophen-salicyl-caff,which medication is used for fever
hemorrhoids,"what is the uses of Pramoxine-Calamine-Camphor, Pramoxine-Calamine"
hypertension,what is the uses of Triamterene
Bacterial Urinary Tract Infection,what is the uses of Nitrofurantoin Macrocrystal
fever,what is the uses of DM-PE-Acetam/DM-Acetam-Doxylam
sulfacetamide sodium,which medication is used for bacterial conjunctivitis
Bacterial Urinary Tract Infection,what is the uses of Ampicillin
mupirocin,which medication is used for impetigo
Bacterial Conjunctivitis,what is the uses of Sulfacetamide-Prednisolone
"trolamine salicylate, ala-bos-gin-bas-rose-tur-wil",which medication is used for back pain
flatulence,"what is the uses of Activated Charcoal-Simethicone, Simethicone"
Atopic Dermatitis,what is the uses of Fluocinonide
hypertension,what is the uses of Aliskiren
gout,what is the uses of Flurbiprofen
hypertension,what is the uses of Pindolol
sucralfate,which medication is used for gastroesophageal reflux disease
hypertension,what is the uses of Acebutolol
niacin,which medication is used for hypercholesterolemia
Acute Bacterial Sinusitis,what is the uses of Amoxicillin-Pot Clavulanate
sore throat,what is the uses of Chlorpheniram-DM-Acetaminophen
prevention of cerebrovascular accident,what is the uses of Aspirin
piroxicam,which medication is used for gout
Bacterial Conjunctivitis,what is the uses of Levofloxacin
alirocumab,which medication is used for hypercholesterolemia
hypertension,what is the uses of Diltiazem Hcl
butoconazole nitrate,which medication is used for vulvovaginal candidiasis
edema,what is the uses of Ethacrynic Acid
amlodipine-atorvastatin,which medication is used for prevention of cerebrovascular accident
evolocumab,which medication is used for hypercholesterolemia
gastroesophageal reflux disease,what is the uses of Dexlansoprazole
medroxyprogesterone,which medication is used for endometriosis
"simethicone, alpha-d-galactosidase",which medication is used for flatulence
tramadol-acetaminophen,which medication is used for fibromyalgia
fever,what is the uses of Phenylephrine-DM-Acetaminophen
hypertension,what is the uses of Benazepril-Hydrochlorothiazide
hypercholesterolemia,what is the uses of Evolocumab
bisoprolol-hydrochlorothiazide,which medication is used for hypertension
Atopic Dermatitis,what is the uses of Doxepin
Atopic Dermatitis,what is the uses of Fluocinolone And Shower Cap
levonorgestrel-ethinyl estrad,which medication is used for endometriosis
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin Phosphate
candesartan,which medication is used for hypertension
hydrocortisone probutate,which medication is used for atopic dermatitis
"norethin-e.estradiol triphasic, norethindrone-ethin estradiol",which medication is used for endometriosis
lansoprazole,which medication is used for gastroesophageal reflux disease
simvastatin,which medication is used for hypercholesterolemia
herpes zoster,what is the uses of Acyclovir Sodium
vertigo,what is the uses of Dimenhydrinate
cefdinir,which medication is used for bacterial urinary tract infection
"pseudoeph-dm-gg-acetaminophen, chlorphen-pe-dm-acetaminophen",which medication is used for fever
fever,what is the uses of ASA-Acetaminophen-Salicyl-Caff
felodipine,which medication is used for hypertension
erythromycin,which medication is used for pharyngitis due to streptococcus pyogenes
"triamterene-hydrochlorothiazid, trichlormethiazide",which medication is used for hypertension
Bacterial Conjunctivitis,what is the uses of Bacitracin-Polymyxin B
doxylamin-pse-dm-acetaminophen,which medication is used for fever
Atopic Dermatitis,what is the uses of Methylprednisolone Acetate
"hydrocortisone, pramoxine-benzyl alcohol",which medication is used for atopic dermatitis
fluvastatin,which medication is used for hypercholesterolemia
back pain,"what is the uses of Menthol-Camphor-Antarth Cb#1, Methyl Salicylate-Menthol, Camphor-Menthol, Camphor-Methyl Salicyl-Menthol"
"calcium carbonate-mag hydroxid, alum-mag hydroxide-simeth",which medication is used for flatulence
hypercholesterolemia,what is the uses of Fenofibrate Micronized
hypertension,what is the uses of Enalapril-Hydrochlorothiazide
naproxen sodium,which medication is used for fever
hemorrhoids,what is the uses of Hydrocortisone Acetate
hypercholesterolemia,what is the uses of Cholestyramine-Aspartame
hypertension,what is the uses of Azilsartan Med-Chlorthalidone
benzocaine,which medication is used for sore throat
aspirin-acetaminophen-caffeine,which medication is used for back pain
"al hyd-mg tr-alg ac-sod bicarb, magaldrate, aluminum-magnesium hydroxide, calcium carbonate-mag hydroxid, aluminum hydrox-magnesium carb, calcium and magnesium carbonat, aluminum-magnesium-alginate, calcium carbonate, dihydroxyaluminum sod carb, alum-mag hydroxide-simeth",which medication is used for gastroesophageal reflux disease
cefadroxil,which medication is used for bacterial urinary tract infection
dextromethorphan-benzocaine,which medication is used for sore throat
desonide,which medication is used for atopic dermatitis
doxylamine-dm-acetaminophen,which medication is used for sore throat
metoclopramide hcl,which medication is used for gastroesophageal reflux disease
pramipexole,which medication is used for fibromyalgia
betaxolol,which medication is used for hypertension
sore throat,what is the uses of Acetaminophen-DM
hypertension,what is the uses of Nadolol
gastroesophageal reflux disease,"what is the uses of Al Hyd-Mg Tr-Alg Ac-Sod Bicarb, Aluminum Hydrox-Magnesium Carb, Aluminum-Magnesium-Alginate, Calcium Carbonate"
vertigo,what is the uses of Meclizine
quinapril,which medication is used for hypertension
hypertension,what is the uses of Trandolapril-Verapamil
cefazolin in dextrose (iso-os),which medication is used for bacterial urinary tract infection
Atopic Dermatitis,what is the uses of Hydrocortisone
chickenpox,what is the uses of Valacyclovir
"pseudoephedrine-ibuprofen, ibuprofen",which medication is used for gout
oral candidiasis,what is the uses of Fluconazole
prednicarbate,which medication is used for atopic dermatitis
acetaminophen-dm,which medication is used for sore throat
prevention of cerebrovascular accident,what is the uses of Aspirin
fever,what is the uses of Cpm-PPA-DM-Acetaminophen
hypercholesterolemia,what is the uses of Niacin
halobetasol propionate,which medication is used for atopic dermatitis
clonidine,which medication is used for hypertension
"aluminum-magnesium hydroxide, alum-mag hydroxide-simeth",which medication is used for flatulence
cyclobenzaprine,which medication is used for fibromyalgia
hypertension,what is the uses of Torsemide
flatulence,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
fibromyalgia,what is the uses of Cyclobenzaprine
azilsartan med-chlorthalidone,which medication is used for hypertension
cortisone,which medication is used for atopic dermatitis
gastroesophageal reflux disease,"what is the uses of Aluminum-Magnesium Hydroxide, Calcium Carbonate-Mag Hydroxid, Calcium And Magnesium Carbonat, Calcium Carbonate, Alum-Mag Hydroxide-Simeth"
metoprolol tartrate,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Esomeprazole Strontium
danazol,which medication is used for endometriosis
hypertension,what is the uses of Labetalol
ibuprofen,which medication is used for gout
meclizine,which medication is used for vertigo
"chlorphen-pe-dm-acetaminophen, cpm-pseudoeph-dm-acetaminophen",which medication is used for fever
amlodipine-atorvastatin,which medication is used for hypertension
biliary calculus,what is the uses of Ursodiol
triamcinolone acetonide,which medication is used for atopic dermatitis
maprotiline,which medication is used for depression
endometriosis,what is the uses of Goserelin
Bacterial Urinary Tract Infection,what is the uses of Ofloxacin
aspirin,which medication is used for fever
fever,"what is the uses of Chlorpheniramine-Acetaminophen, Chlorphen-PPA-Acetaminophen"
"desonide-emollient combo no 28, desonide",which medication is used for atopic dermatitis
gout,"what is the uses of Acetaminophen-Pamabrom, Ibuprofen"
hypertension,what is the uses of Captopril
norethin-eth estrad biphasic,which medication is used for endometriosis
metronidazole in nacl (iso-os),which medication is used for diverticulitis of gastrointestinal tract
amlodipine-valsartan-hcthiazid,which medication is used for hypertension
diverticulitis of gastrointestinal tract,what is the uses of Ampicillin-Sulbactam
erythromycin ethylsuccinate,which medication is used for gastroesophageal reflux disease
zanamivir,which medication is used for influenza
Atopic Dermatitis,what is the uses of Triamcinolone-Emollient Comb86
gastroesophageal reflux disease,"what is the uses of Calcium Carbonate-Mag Hydroxid, Dihydroxyaluminum Sod Carb"
fenofibric acid,which medication is used for hypercholesterolemia
nitrofurantoin monohyd/m-cryst,which medication is used for bacterial urinary tract infection
Atopic Dermatitis,what is the uses of Cetirizine
fever,what is the uses of Pseudoeph-DM-GG-Acetaminophen
diverticulitis of gastrointestinal tract,what is the uses of Clindamycin Phosphate
chlorothiazide,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Cimetidine
vulvovaginal candidiasis,what is the uses of Miconazole Nitrate
torsemide,which medication is used for edema
pseudoeph-dm-gg-acetaminophen,which medication is used for fever
gastroesophageal reflux disease,what is the uses of Alum-Mag Hydroxide-Simeth
fever,what is the uses of Pseudoephed-DM-Acetaminophen
"ceftriaxone in dextrose,iso-os",which medication is used for bacterial urinary tract infection
retapamulin,which medication is used for impetigo
Bacterial Urinary Tract Infection,what is the uses of Doxycycline Hyclate
penicillin v potassium,which medication is used for pharyngitis due to streptococcus pyogenes
esomeprazole magnesium,which medication is used for gastroesophageal reflux disease
hemorrhoids,"what is the uses of Phenyleph-Shark Oil-Cocoa Butr, Skin Rsp Ftr-Srk Liv-Phenylmer, Phenyleph-Shark Liv Oil-Mo-Pet"
moexipril,which medication is used for hypertension
gastroesophageal reflux disease,what is the uses of Aluminum-Magnesium Hydroxide
hypercholesterolemia,what is the uses of Fenofibrate
losartan,which medication is used for hypertension
fluocinolone-emol cmb#65,which medication is used for atopic dermatitis
